Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit,Lead_Time_Dias
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,West,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.3,57.12,5
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,West,Office Supplies,Binders,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,7,0.0,1.32,4
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,West,Technology,Accessories,TEC-AC-10003027,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,4,0.3,18.62,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Furniture,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,9,0.1,652.31,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Binders,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,3,0.0,1.22,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Furniture,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,5,0.1,8.9,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Envelopes,OFF-EN-10001509,Poly String Tie Envelopes,3.264,3,0.3,0.89,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Art,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,7,0.2,23.94,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Binders,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,5,0.1,2.4,4
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Art,OFF-AR-10001683,Lumber Crayons,15.76,9,0.1,5.04,4
CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,Matt Abelman,Home Office,Central,Office Supplies,Paper,OFF-PA-10000249,Easy-staple paper,29.472,7,0.2,9.66,4
CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,Central,Technology,Phones,TEC-PH-10004977,GE 30524EE4,1097.544,2,0.3,317.7,2
CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,Central,Furniture,Furnishings,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,4,0.1,44.8,2
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Office Supplies,Envelopes,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.3,10.04,4
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Furniture,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2,0.2,126.02,4
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Furniture,Chairs,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.058,9,0.0,14.16,4
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Technology,Phones,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,5,0.1,117.14,4
CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,Central,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,147.168,2,0.3,28.63,5
CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,West,Office Supplies,Storage,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,4,0.2,20.19,5
CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,Erin Smith,Corporate,South,Office Supplies,Storage,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,7,0.2,6.28,4
CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,Central,Technology,Accessories,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,8,0.1,9.67,2
CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,Central,Office Supplies,Binders,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,3,0.0,2.45,2
CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,Central,Office Supplies,Storage,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,1,0.1,28.72,5
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,East,Technology,Accessories,TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,4,0.3,7.51,5
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,East,Technology,Phones,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.2,1.09,5
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,Central,Office Supplies,Binders,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,8,0.0,7.26,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,Central,Office Supplies,Labels,OFF-LA-10002762,Avery 485,75.18,4,0.3,14.73,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,Central,Furniture,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2,0.1,1.9,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,Central,Furniture,Chairs,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,6,0.2,16.61,4
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,East,Office Supplies,Fasteners,OFF-FA-10000304,Advantus Push Pins,15.26,6,0.1,2.43,6
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,East,Technology,Phones,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,4,0.0,358.86,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Storage,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6,0.0,46.17,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Paper,OFF-PA-10001569,Xerox 232,32.4,2,0.0,6.21,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Furniture,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,2,0.0,63.49,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Paper,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,4,0.0,4.26,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Technology,Accessories,TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,8,0.1,4.57,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Binders,OFF-BI-10001460,Plastic Binding Combs,48.48,7,0.0,8.08,1
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Art,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,9,0.0,0.46,1
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,West,Technology,Accessories,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,8,0.2,1.01,6
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,West,Office Supplies,Binders,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,5,0.0,7.99,6
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,West,Office Supplies,Paper,OFF-PA-10003892,Xerox 1943,146.73,2,0.2,26.27,6
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,West,Furniture,Furnishings,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,5,0.2,17.9,6
US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,Central,Furniture,Chairs,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.115,8,0.2,59.08,5
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,West,Office Supplies,Art,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,9,0.1,144.49,5
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,West,Technology,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.968,9,0.1,53.26,5
CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,South,Office Supplies,Paper,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,1,0.3,26.09,2
CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,East,Office Supplies,Binders,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,9,0.3,0.92,5
CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,Central,Office Supplies,Paper,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,7,0.2,6.31,3
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,South,Furniture,Chairs,FUR-CH-10000513,High-Back Leather Manager's Chair,831.936,9,0.1,41.88,6
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,South,Furniture,Furnishings,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,8,0.0,30.89,6
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,South,Office Supplies,Storage,OFF-ST-10004123,Safco Industrial Wire Shelving System,72.784,1,0.3,10.43,6
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,Central,Office Supplies,Binders,OFF-BI-10004182,Economy Binders,1.248,8,0.1,0.18,2
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,Central,Furniture,Furnishings,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",9.708,8,0.0,1.15,2
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,Central,Office Supplies,Storage,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.0,3.95,2
US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745,Joel Eaton,Consumer,Central,Furniture,Furnishings,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,1,0.1,2.2,5
CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,South,Office Supplies,Appliances,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,8,0.3,66.98,3
CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,South,Office Supplies,Binders,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.1,5.35,3
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,West,Office Supplies,Art,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,3,0.3,1.2,4
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,West,Office Supplies,Storage,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.2,1.99,4
CA-2016-149734,2016-09-03,2016-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,South,Office Supplies,Envelopes,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,5,0.1,62.02,5
US-2018-119662,2018-11-13,2018-11-16,First Class,CS-12400,Christopher Schild,Home Office,Central,Office Supplies,Storage,OFF-ST-10003656,Safco Industrial Wire Shelving,230.376,7,0.1,39.09,3
CA-2018-140088,2018-05-28,2018-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,South,Furniture,Chairs,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,301.96,9,0.3,30.43,2
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,Central,Technology,Accessories,TEC-AC-10001998,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,7,0.3,4.06,7
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,Central,Office Supplies,Labels,OFF-LA-10000134,Avery 511,6.16,9,0.1,1.08,7
CA-2017-159695,2017-04-05,2017-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,Central,Office Supplies,Storage,OFF-ST-10003442,Eldon Portable Mobile Manager,158.368,8,0.0,18.33,5
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,West,Office Supplies,Art,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,2,0.0,5.35,5
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,West,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,73.584,1,0.0,17.62,5
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,West,Office Supplies,Paper,OFF-PA-10000304,Xerox 1995,6.48,7,0.2,0.52,5
CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,Central,Office Supplies,Paper,OFF-PA-10003177,Xerox 1999,12.96,7,0.2,4.25,5
CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,Central,Furniture,Furnishings,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",53.34,8,0.3,11.6,5
CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,Central,Office Supplies,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,32.96,5,0.2,4.12,5
US-2018-109484,2018-11-06,2018-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,West,Office Supplies,Binders,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,5.682,3,0.0,0.64,6
CA-2018-161018,2018-11-09,2018-11-11,Second Class,PN-18775,Parhena Norris,Home Office,East,Furniture,Furnishings,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,96.53,8,0.1,8.76,2
CA-2018-157833,2018-06-17,2018-06-20,First Class,KD-16345,Katherine Ducich,Consumer,West,Office Supplies,Binders,OFF-BI-10001721,Trimflex Flexible Post Binders,51.312,6,0.2,9.1,3
CA-2017-149223,2017-09-06,2017-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Central,Office Supplies,Appliances,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,77.88,3,0.2,7.06,5
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Office Supplies,Paper,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,64.624,1,0.0,11.29,4
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Technology,Accessories,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,9.08,4
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Office Supplies,Binders,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,1.788,5,0.3,0.44,4
CA-2017-129903,2017-12-01,2017-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,Central,Office Supplies,Paper,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,3,0.1,6.83,3
US-2016-156867,2016-11-13,2016-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,West,Technology,Accessories,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,238.896,1,0.0,51.33,4
US-2016-156867,2016-11-13,2016-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,West,Furniture,Furnishings,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,5,0.3,26.0,4
US-2016-156867,2016-11-13,2016-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,West,Office Supplies,Binders,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,7,0.0,12.23,4
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,JM-15250,Janet Martin,Consumer,South,Technology,Accessories,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,7,0.3,17.9,5
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,JM-15250,Janet Martin,Consumer,South,Technology,Phones,TEC-PH-10002844,Speck Products Candyshell Flip Case,27.992,9,0.1,4.46,5
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,JM-15250,Janet Martin,Consumer,South,Office Supplies,Art,OFF-AR-10000390,Newell Chalk Holder,3.304,3,0.1,0.61,5
CA-2016-129476,2016-10-15,2016-10-20,Standard Class,PA-19060,Pete Armstrong,Home Office,Central,Technology,Accessories,TEC-AC-10000844,LogitechÂ Gaming G510s - Keyboard,339.96,7,0.3,104.76,5
CA-2018-146780,2018-12-25,2018-12-30,Standard Class,CV-12805,Cynthia Voltz,Corporate,East,Furniture,Furnishings,FUR-FU-10001934,Magnifier Swing Arm Lamp,41.96,1,0.3,3.74,5
CA-2017-128867,2017-11-03,2017-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,Central,Office Supplies,Art,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,4,0.3,11.22,7
CA-2017-128867,2017-11-03,2017-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,Central,Office Supplies,Binders,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",27.24,4,0.3,6.08,7
CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,East,Office Supplies,Fasteners,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",40.096,5,0.3,10.14,2
CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,East,Office Supplies,Envelopes,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,7,0.3,1.32,2
CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,East,Office Supplies,Paper,OFF-PA-10004965,Xerox 1921,23.976,7,0.1,3.49,2
CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,East,Office Supplies,Envelopes,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,4,0.3,12.23,2
CA-2016-110457,2016-03-02,2016-03-06,Standard Class,DK-13090,Dave Kipp,Consumer,West,Furniture,Tables,FUR-TA-10001768,Hon Racetrack Conference Tables,787.53,7,0.2,264.97,4
US-2016-136476,2016-04-05,2016-04-10,Standard Class,GG-14650,Greg Guthrie,Corporate,South,Office Supplies,Binders,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,157.794,3,0.1,11.51,5
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725,Steven Cartwright,Consumer,East,Furniture,Furnishings,FUR-FU-10002157,Artistic Insta-Plaque,47.04,6,0.0,3.7,3
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725,Steven Cartwright,Consumer,East,Office Supplies,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,30.84,2,0.1,6.12,3
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725,Steven Cartwright,Consumer,East,Office Supplies,Storage,OFF-ST-10000777,"Companion Letter/Legal File, Black",226.56,9,0.0,67.01,3
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725,Steven Cartwright,Consumer,East,Office Supplies,Envelopes,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,115.02,5,0.0,32.48,3
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725,Steven Cartwright,Consumer,East,Technology,Phones,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,6,0.2,22.54,3
